Collocation,2013-09-07
KeyWord,σοφ
Instances,746
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,σοφ,2953.96762014925,669,416,253,60,62,60,77,157,0,34,60,55,46,58,"σοφίαν-τήν (53), σοφοί-οἱ (44), σοφία-ἡ (44), σοφίας-τῆς (41), σοφός-ὁ (37), σοφῶν-τῶν (35), σοφόν-τό (21), σοφόν-τόν (20), σοφώτατον-τόν (12), σοφοί-τῶν (10), σοφούς-τούς (10), σοφός-τά (9), σοφίας-τῶν (9), σοφά-τά (8), σοφός-τήν (8), σοφία-τῶν (8), σοφίαν-οἱ (7), σοφίᾳ-οἱ (7), σοφίαν-τῶν (7), σοφός-τῶν (7), σοφίας-τήν (6), σοφός-τούς (6), σοφίας-τό (5), σοφώτατοι-οἱ (5), σοφίᾳ-τῶν (5), σοφία-τό (5), σοφῶν-οἱ (5), σοφώτατος-ὁ (5), σοφόν-τῶν (5), σοφός-τόν (5), σοφίαν-ὁ (4), σοφία-τῆς (4), σοφίαν-ἡ (4), σοφίαν-τό (4), σοφώτερον-τό (4), σοφίας-τόν (4), σοφοί-ὁ (4), σοφώτερος-ὁ (4), σοφόν-τήν (4), σοφῶν-ὁ (3), σοφωτέρα-ἡ (3), σοφοί-τό (3), σοφοί-τά (3), σοφίαν-τόν (3), σοφίαν-τά (3), σοφίᾳ-ὁ (3), σοφίᾳ-τοῖς (3), σοφώτατον-τῶν (3), σοφίας-τά (3), σοφόν-οἱ (3), σοφίας-ὁ (3), σοφίας-ἡ (2), σοφίᾳ-τούς (2), σοφία-τούς (2), σοφός-οἱ (2), σοφωτέρων-τῶν (2), σοφοῦ-τά (2), σοφώτατος-τά (2), σοφούς-τάς (2), σοφώτατος-τῶν (2), σοφούς-τῶν (2), σοφῶν-τό (2), σοφίαν-τοῖς (2), σοφῷ-ὁ (2), σοφός-τοῖς (2), σοφοῖς-τοῖς (2), σοφίαν-τῆς (2), σοφάς-τάς (2), σοφωτάτου-τήν (2), σοφή-τῶν (2), σοφίας-τούς (2), σοφωτάτους-τῶν (2), σοφίαν-τούς (2), σοφίας-οἱ (2), σοφοῦ-τῆς (2), σοφῶν-τάς (2), σοφώτατοι-τῶν (2), σοφῶν-τόν (2), σοφῷ-τά (2), σοφώτατον-τό (2), σοφώτατον-τά (2), σοφούς-οἱ (2), σοφήν-τήν (2), σοφία-τήν (2), σοφώτερον-τῶν (2), σοφήν-ἡ (2), σοφίαν-τοῖν (2), σοφία-τόν (2), σοφός-τό (2), σοφοί-τοῖς (2), σοφῷ-τό (2), σοφόν-ὁ (2), σοφίας-τοῖν (1), σοφωτέρους-τούς (1), σοφώτατος-ἡ (1), σοφοί-τάς (1), σοφώτερον-ἡ (1), σοφοί-τόν (1), σοφώτατον-τήν (1), σοφωτέρους-τάς (1), σοφοί-τάν (1), σοφῷ-τήν (1), σοφώτερος-ἡ (1), σοφώτεροι-οἱ (1), σοφός-τῆς (1), σοφώτατον-τούς (1), σοφώτερα-τά (1), σοφώτατον-τοῖς (1), σοφοί-τούς (1), σοφωτάτων-τοῖς (1), σοφωτάτων-τῶν (1), σοφῶν-τούς (1), σοφοί-τῆς (1), σοφωτάτου-τῆς (1), σοφώτερον-ὁ (1), σοφοῖς-τῶν (1), σοφούς-τήν (1), σοφοῖς-τήν (1), σοφούς-τόν (1), σοφή-τόν (1), σοφή-τήν (1), σοφώτατος-τόν (1), σοφώτερος-τῶν (1), σοφοῦ-τό (1), σοφία-ὁ (1), σοφωτέροις-τό (1), σοφωτάτων-τήν (1), σοφωτάτῳ-τῶν (1), σοφίᾳ-τά (1), σοφοῦ-ἡ (1), σοφῆς-ἡ (1), σοφῶν-τά (1), σοφώτερον-τόν (1), σοφόν-τά (1), σοφωτέροις-τοῖς (1), σοφώτατον-οἱ (1), σοφούς-τό (1), σοφώτερον-τά (1), σοφία-τά (1), σοφοῖς-οἱ (1), σοφήν-τό (1), σοφώτερος-ο (1), σοφέ-ὁ (1), σοφώτερος-τήν (1), σοφή-ἡ (1), σοφῷ-τῶν (1), σοφίας-ταῖς (1), σοφά-οἱ (1), σοφούς-ἡ (1), σοφόν-ἡ (1), σοφίας-τοῖς (1), σοφώτερος-τά (1), σοφούς-ταῖς (1), σοφίας-τάς (1), σοφόν-τοῖς (1), σοφωτάτους-τοῖς (1), σοφόν-τάς (1), σοφίᾳ-τήν (1)"
καί,σοφ,1512.74431337975,423,202,221,33,31,43,35,60,0,51,56,42,35,37,"σοφός-καί (52), σοφία-καί (50), σοφίας-καί (46), σοφίαν-καί (43), σοφόν-καί (36), σοφοί-καί (33), σοφίᾳ-καί (23), σοφούς-καί (23), σοφῶν-καί (20), σοφώτατον-καί (14), σοφώτατος-καί (10), σοφή-καί (9), σοφοῦ-καί (9), σοφῷ-καί (6), σοφώτερον-καί (6), σοφώτατοι-καί (6), σοφώτερος-καί (5), σοφοῖς-καί (4), σοφώ-καί (4), σοφώτεροι-καί (4), σοφά-καί (2), σοφήν-καί (2), σοφωτάτων-καί (2), σοφωτέρων-καί (2), σοφώτατε-καί (2), σοφῆς-καί (2), σοφωτέρα-καί (2), σοφωτάτου-καί (2), σοφωτέρους-καί (1), σοφωτάτους-καί (1), σοφωτάτῳ-καί (1), σοφίαι-καί (1)"
εἰμί,σοφ,1466.58816765994,343,146,197,21,22,29,29,45,0,85,35,29,25,23,"σοφός-εἶναι (18), σοφόν-εἶναι (17), σοφός-ὤν (14), σοφίαν-εἶναι (11), σοφία-ἐστίν (11), σοφοί-εἰσιν (10), σοφούς-εἶναι (8), σοφώτερον-εἶναι (7), σοφός-ἦν (7), σοφία-ἐστιν (6), σοφώτατον-εἶναι (6), σοφία-εἴη (6), σοφός-ἐστιν (5), σοφία-εἶναι (5), σοφός-εἴη (5), σοφώτερος-εἴη (5), σοφοί-ὄντες (4), σοφίαν-ἦν (4), σοφίας-ὤν (4), σοφῶν-εἶναι (4), σοφός-ἔστιν (4), σοφός-ὄντι (3), σοφίαν-ὤν (3), σοφίας-εἶναι (3), σοφῶν-εἰσιν (3), σοφοί-εἶναι (3), σοφός-ἔσεσθαι (3), σοφία-ἦν (2), σοφόν-ἐστίν (2), σοφώτερος-ἦν (2), σοφώτερος-εἶναι (2), σοφίαν-εἴησαν (2), σοφοῖς-οὖσι (2), σοφόν-ἦν (2), σοφοί-εἰσι (2), σοφός-ἐστί (2), σοφώτερος-ὤν (2), σοφός-ἔσται (2), σοφόν-ἐστιν (2), σοφία-ὄντι (2), σοφοῦ-ἐστι (2), σοφόν-ἦ (2), σοφίαν-ἐστίν (2), σοφός-ἔστι (2), σοφός-ἦ (2), σοφώτατος-ἦν (2), σοφίαν-εἴη (2), σοφίαν-ἐστιν (2), σοφοί-εἶεν (2), σοφίαν-ἐστι (2), σοφίᾳ-ὤν (2), σοφίας-εἰμι (2), σοφοῦ-ὤν (2), σοφώτατοι-εἰσιν (2), σοφώτατοι-εἶναι (2), σοφή-ἦν (2), σοφώτατε-εἶεν (1), σοφία-ἐστί (1), σοφίας-ὄντος (1), σοφοί-οὔσης (1), σοφοῦ-ἐστίν (1), σοφοί-ἦμεν (1), σοφίᾳ-ἦ (1), σοφόν-εἴη (1), σοφός-ὄντων (1), σοφίαν-εἰσίν (1), σοφώτερα-εἶναι (1), σοφώτατος-εἶναι (1), σοφῷ-ἦ (1), σοφίας-εἰσι (1), σοφώτατε-εἶναι (1), σοφή-ἐστί (1), σοφούς-ἦ (1), σοφήν-εἶναι (1), σοφήν-ἦν (1), σοφή-εἴη (1), σοφώτερον-ἔστι (1), σοφῶν-ἔμμεναι (1), σοφία-ἦ (1), σοφωτάτη-εἶεν (1), σοφοί-ἐστε (1), σοφωτάτους-εἶναι (1), σοφόν-ὄν (1), σοφώτατον-ἦ (1), σοφοί-ἦσαν (1), σοφίας-ἔστιν (1), σοφώτερος-ἐστιν (1), σοφωτέρους-ὄντας (1), σοφώτατος-ἔσται (1), σοφοί-ἔστιν (1), σοφίᾳ-εἰσι (1), σοφίᾳ-ὄντες (1), σοφῶν-ἐστίν (1), σοφώτατον-ἦν (1), σοφίας-ἦσαν (1), σοφίαν-οὔσῃ (1), σοφία-ὄντος (1), σοφοί-ἐσμέν (1), σοφωτέρων-εἶναι (1), σοφώτεροι-ἦσαν (1), σοφίᾳ-εἶναι (1), σοφίας-ὄντε (1), σοφίᾳ-εἰσιν (1), σοφίᾳ-ἦσαν (1), σοφώτατα-εἶναι (1), σοφῶν-ᾖ (1), σοφήν-ὄντι (1), σοφίας-εἴη (1), σοφῶν-εἰσίν (1), σοφωτάτη-ἦν (1), σοφῶν-εἰμι (1), σοφός-εἰμί (1), σοφωτάτων-εἶναι (1), σοφωτάτων-ἦσαν (1), σοφίας-ἐστίν (1), σοφῶν-ἦν (1), σοφώτερος-ὄντος (1), σοφώτερον-ἐστίν (1), σοφώτεροι-εἶναι (1), σοφῶν-εἰσι (1), σοφία-ὄντων (1), σοφώτατοι-ἔσονται (1), σοφίαν-ἔσεσθαι (1), σοφώτατον-ἔσεσθαι (1), σοφόν-εἰσιν (1), σοφία-ὄντοιν (1), σοφά-ἐστιν (1), σοφῷ-ὄντι (1), σοφῶν-ἐστιν (1), σοφωτάτους-ὄντας (1), σοφός-εἶτ' (1), σοφοῖς-εἶναι (1), σοφός-ἐστι (1), σοφῶν-εἴη (1), σοφῷ-εἶναι (1), σοφοῦ-ἦν (1), σοφοί-ἔσομαι (1), σοφώτατε-ἦ (1), σοφόν-ἐστέ (1), σοφωτάτῳ-ἦν (1), σοφώ-ἐστόν (1), σοφῶν-ὤν (1), σοφώτερος-ἐστί (1), σοφή-ἦ (1), σοφίαν-εἶεν (1), σοφόν-ἔστι (1), σοφοῦ-εἶναι (1), σοφοί-εἴην (1), σοφίαν-οὖσαν (1), σοφώ-ἤστην (1), σοφίας-ὄντας (1), σοφόν-εἰμι (1), σοφοῖς-ἔσται (1), σοφώτατοι-εἰσί (1), σοφίας-ὄντι (1), σοφός-εἴης (1), σοφοί-εἴη (1), σοφοί-ἐστι (1), σοφούς-ἐστι (1), σοφή-ὄντι (1), σοφοῖς-ἔστι (1), σοφίας-εἰσίν (1)"
δέ,σοφ,669.614346725866,206,111,95,24,34,18,20,15,0,15,27,16,20,17,"σοφός-δέ (27), σοφίαν-δέ (25), σοφόν-δέ (20), σοφοί-δέ (16), σοφία-δέ (15), σοφίας-δέ (9), σοφούς-δέ (8), σοφώτατον-δέ (6), σοφίᾳ-δέ (6), σοφός-δ' (6), σοφίας-δ' (6), σοφοῦ-δέ (5), σοφῶν-δέ (4), σοφίαν-δ' (4), σοφοῖς-δέ (4), σοφόν-δ' (4), σοφώτερον-δέ (3), σοφία-δ' (3), σοφήν-δέ (3), σοφώτατοι-δέ (2), σοφωτάτους-δέ (2), σοφοί-δ' (2), σοφῶν-δ' (2), σοφώτερος-δέ (2), σοφώτατος-δέ (2), σοφοῦ-δ' (2), σοφῷ-δέ (1), σοφωτέρα-δ' (1), σοφωτάτη-δ' (1), σοφωτέρα-δέ (1), σοφωτάτου-δέ (1), σοφοῖς-δ' (1), σοφήν-δ' (1), σοφῆς-δέ (1), σοφά-δ' (1), σοφούς-δ' (1), σοφωτέρῳ-δέ (1), σοφή-δέ (1), σοφώτατε-δ' (1), σοφωτέροις-δέ (1), σοφωτέρων-δέ (1), σοφίᾳ-δ' (1), σοφή-δ' (1), σοφώτατοι-δ' (1)"
οὗτος,σοφ,498.651298118755,152,64,88,8,12,16,22,6,0,19,21,14,18,16,"σοφίαν-ταύτην (10), σοφός-ταῦτα (7), σοφίας-ταύτης (6), σοφίαν-τοῦτο (5), σοφόν-τοῦτο (5), σοφόν-τούτων (4), σοφοί-ταῦτα (4), σοφόν-ταῦτα (4), σοφίας-τοῦτο (4), σοφός-τοῦτο (4), σοφίᾳ-τοῦτο (3), σοφίας-ταῦτα (3), σοφά-ταῦτα (3), σοφία-αὕτη (3), σοφοί-τοῦτο (3), σοφίαν-τούτων (3), σοφία-τοῦτο (3), σοφώτατον-τοῦτον (2), σοφώτατος-ταῦτα (2), σοφός-τούτους (2), σοφός-τούτων (2), σοφός-οὗτοι (2), σοφός-ταύτην (2), σοφία-ταύτην (2), σοφοί-οὗτοι (2), σοφία-ταῦτα (2), σοφώτερον-τούτων (2), σοφώτατα-ταῦτα (1), σοφώτατοι-οὗτοι (1), σοφόν-ταύτην (1), σοφάς-ταύτας (1), σοφῶν-τούτῳ (1), σοφίαν-ταῦτ' (1), σοφώτερον-τούτοις (1), σοφούς-τούτους (1), σοφοῦ-ταῦτα (1), σοφωτάτη-ταῦτα (1), σοφός-ταῦτ' (1), σοφωτέρα-αὕτη (1), σοφώτερα-ταῦτα (1), σοφώτατοι-ταύτην (1), σοφοῖς-τοῦτο (1), σοφώτατος-αὕτη (1), σοφώτατε-τοῦτο (1), σοφωτέρων-ταῦτα (1), σοφία-οὗτοι (1), σοφίας-ταυτησί (1), σοφοί-ταῦτ' (1), σοφῷ-τούτῳ (1), σοφή-τούτων (1), σοφίᾳ-τούτων (1), σοφῶν-τοῦτ' (1), σοφία-τούτων (1), σοφία-τοῦτον (1), σοφούς-τούτῳ (1), σοφίᾳ-ταῦτα (1), σοφία-τοῦτ' (1), σοφώτερος-τοῦτο (1), σοφωτάτων-ταῦτα (1), σοφώτερος-τούτῳ (1), σοφία-τούτῳ (1), σοφός-οὗτος (1), σοφώτατος-τοῦτο (1), σοφόν-τοῦτον (1), σοφοί-τούτου (1), σοφῶν-τοῦτο (1), σοφῶν-τούτων (1), σοφίαν-αὕτη (1), σοφίαν-τούτῳ (1), σοφώτερος-ταῦτ' (1), σοφία-τούτου (1), σοφία-οὗτος (1), σοφός-ταύτης (1), σοφήν-ταῦτα (1), σοφόν-τούτου (1), σοφός-τούτῳ (1), σοφοῖς-ταῦτα (1), σοφός-τούτοις (1), σοφῶν-τοῦτον (1), σοφώτερα-τοῦτο (1), σοφόν-τούτῳ (1), σοφίᾳ-αὕτη (1), σοφούς-τούτων (1), σοφωτάτους-τούτους (1), σοφοί-τούτων (1)"
σοφ,σοφ,443.149637881666,66,33,33,8,6,8,9,2,746,2,9,8,6,8,"σοφός-σοφός (8), σοφοί-σοφοί (8), σοφίᾳ-σοφοί (6), σοφοί-σοφίᾳ (6), σοφῶν-σοφοί (5), σοφοί-σοφῶν (5), σοφός-σοφίαν (4), σοφίαν-σοφός (4), σοφίαν-σοφόν (3), σοφόν-σοφίαν (3), σοφῶν-σοφῶν (2), σοφίαν-σοφοί (2), σοφόν-σοφόν (2), σοφοί-σοφίαν (2), σοφούς-σοφῶν (1), σοφόν-σοφούς (1), σοφοῖς-σοφός (1), σοφῶν-σοφούς (1), σοφούς-σοφόν (1), σοφός-σοφοῖς (1), σοφούς-σοφούς (0), σοφίας-σοφίας (0), σοφωτέρῳ-σοφωτέρῳ (0), σοφωτάτῳ-σοφωτάτῳ (0), σοφοῖς-σοφοῖς (0), σοφίαν-σοφίαν (0), σοφώ-σοφώ (0), σοφωτάτη-σοφωτάτη (0), σοφῷ-σοφῷ (0), σοφοῦ-σοφοῦ (0), σοφώτατος-σοφώτατος (0), σοφωτάτου-σοφωτάτου (0), σοφάς-σοφάς (0), σοφωτέρους-σοφωτέρους (0), σοφωτάτους-σοφωτάτους (0), σοφωτέρα-σοφωτέρα (0), σοφώτατον-σοφώτατον (0), σοφίᾳ-σοφίᾳ (0), σοφώτερα-σοφώτερα (0), σοφώτερος-σοφώτερος (0), σοφωτέροις-σοφωτέροις (0), σοφία-σοφία (0), σοφώτεροι-σοφώτεροι (0), σοφῆς-σοφῆς (0), σοφή-σοφή (0), σοφωτάτων-σοφωτάτων (0), σοφώτατοι-σοφώτατοι (0), σοφά-σοφά (0), σοφώτερον-σοφώτερον (0), σοφίαι-σοφίαι (0), σοφέ-σοφέ (0), σοφώτατε-σοφώτατε (0), σοφήν-σοφήν (0), σοφώτατα-σοφώτατα (0), σοφωτέρων-σοφωτέρων (0)"
ὅς,σοφ,410.424991628155,106,40,66,12,9,8,8,3,0,19,18,14,4,11,"σοφός-ἅπερ (5), σοφίαν-ἥν (5), σοφός-ἅ (3), σοφόν-ἅ (3), σοφίας-ἥν (3), σοφός-ἥν (3), σοφία-ᾧ (3), σοφούς-οὕς (3), σοφίας-ᾗ (2), σοφός-ὅν (2), σοφόν-ἅπερ (2), σοφία-ᾗ (2), σοφόν-ὅς (2), σοφίας-ἧς (2), σοφοί-ἥν (2), σοφός-ὅς (2), σοφόν-ᾧ (2), σοφόν-ὧν (2), σοφίαν-ᾗ (2), σοφία-ἧς (2), σοφίας-ὅς (1), σοφούς-ἧς (1), σοφός-ἅς (1), σοφή-ᾧ (1), σοφίᾳ-ὅς (1), σοφοί-ὅνπερ (1), σοφίαν-ἥπερ (1), σοφούς-οἷς (1), σοφός-οὕς (1), σοφίᾳ-ἥν (1), σοφώτατα-ἅ (1), σοφοῦ-ᾧ (1), σοφία-ἅπερ (1), σοφώτερος-ἅ (1), σοφίας-ᾧ (1), σοφία-ἅ (1), σοφός-ὧν (1), σοφοί-ἅ (1), σοφίᾳ-ὧν (1), σοφός-οἷς (1), σοφή-ὅς (1), σοφίαν-ἅ (1), σοφία-ὧν (1), σοφοί-ἅπερ (1), σοφώ-ὅς (1), σοφῶν-ὧν (1), σοφωτάτους-οὕς (1), σοφόν-ἥν (1), σοφοί-ὅς (1), σοφίαν-οὕς (1), σοφόν-ὅν (1), σοφώτερος-ὅς (1), σοφώτατος-ὅς (1), σοφοί-οἵ (1), σοφίαν-ὧν (1), σοφώτατον-ὅς (1), σοφούς-ἅπερ (1), σοφοῦ-ὅς (1), σοφούς-ἥν (1), σοφία-ἧι (1), σοφώτατος-ἅπερ (1), σοφούς-ἅ (1), σοφίᾳ-οὕς (1), σοφοί-ἥνπερ (1), σοφώτατον-ὅν (1), σοφία-ἥπερ (1), σοφός-ᾗ (1), σοφίᾳ-ἅ (1), σοφοί-οὕς (1), σοφοῦ-ἅ (1), σοφίας-ὅν (1), σοφίας-ἅ (1), σοφωτάτων-ἅ (1), σοφίᾳ-οἷς (1)"
τε,σοφ,363.463882032782,111,50,61,10,4,12,19,5,0,24,12,7,4,14,"σοφός-τε (19), σοφίας-τε (15), σοφίαν-τε (12), σοφοί-τε (9), σοφόν-τε (8), σοφία-τε (7), σοφῶν-τε (7), σοφώτατον-τε (5), σοφίᾳ-τε (5), σοφώτατος-τε (4), σοφούς-τε (4), σοφώ-τε (3), σοφοῦ-τε (2), σοφοῖς-τε (1), σοφίαι-τε (1), σοφώτερος-τε (1), σοφή-τε (1), σοφώτατοι-τε (1), σοφός-τ' (1), σοφώτατον-τ' (1), σοφώτερον-τε (1), σοφή-τ' (1), σοφωτάτου-τε (1), σοφίας-τ' (1)"
ἐγώ,σοφ,333.703530894592,105,49,56,11,13,5,18,2,0,7,10,12,17,10,"σοφός-μοι (6), σοφόν-με (5), σοφός-ἡμῖν (5), σοφός-ἐγώ (5), σοφίαν-ἐγώ (5), σοφίαν-μοι (4), σοφία-ἐγώ (4), σοφόν-ἐγώ (3), σοφία-ἔμοιγε (3), σοφῶν-ἡμῖν (3), σοφώτατοι-ἡμῖν (3), σοφῶν-ἡμεῖς (3), σοφοί-ἡμῖν (3), σοφίᾳ-ἐγώ (3), σοφούς-ἐγώ (2), σοφίας-ἐγώ (2), σοφώτερος-ἐγώ (2), σοφῶν-ἐγώ (2), σοφόν-μοι (2), σοφός-με (2), σοφώτατος-ἡμῖν (1), σοφία-κἀγώ (1), σοφῷ-ἐγώ (1), σοφώτεροι-μου (1), σοφίαν-με (1), σοφίας-ἡμῖν (1), σοφίας-μοι (1), σοφίας-ἡμεῖς (1), σοφόν-ἡμεῖς (1), σοφοί-ἐγώ (1), σοφία-μοι (1), σοφά-μοι (1), σοφώ-ἐγώ (1), σοφούς-ἔγωγε (1), σοφήν-ἐγώ (1), σοφίας-ἔγωγε (1), σοφώτατος-ἐγώ (1), σοφίας-μου (1), σοφίᾳ-μοι (1), σοφωτάτη-ἐγώ (1), σοφούς-με (1), σοφῶν-ἔγωγε (1), σοφοί-μοι (1), σοφά-ἐγώ (1), σοφίᾳ-ἡμῖν (1), σοφωτέρων-μοι (1), σοφοί-ἔγωγε (1), σοφίας-με (1), σοφοῦ-ἡμῖν (1), σοφή-μοι (1), σοφίᾳ-μοί (1), σοφώτατε-ἐγώ (1), σοφίαν-ἔγωγε (1), σοφῶν-μοι (1), σοφίαν-ἡμῖν (1), σοφῷ-ἡμῖν (1), σοφόν-ἔμοιγε (1), σοφωτέρους-νῷν (1)"
ἀνήρ,σοφ,308.046612005681,55,29,26,4,6,4,4,11,0,11,3,4,8,0,"σοφός-ἀνήρ (13), σοφόν-ἄνδρα (7), σοφῶν-ἀνδρῶν (6), σοφοί-ἄνδρες (5), σοφοῦ-ἀνδρός (4), σοφίαν-ἀνδροῖν (2), σοφῷ-ἀνδρί (2), σοφώτατον-ἄνδρα (2), σοφός-ἄνδρες (2), σοφοῖς-ἀνδράσι (2), σοφίᾳ-ἀνδρῶν (1), σοφίας-ἀνδρός (1), σοφώτεροι-ἄνδρες (1), σοφίαν-ἄνδρα (1), σοφίας-ἀνδροῖν (1), σοφίαν-ἄνδρες (1), σοφούς-ἄνδρας (1), σοφίᾳ-ἄνδρες (1), σοφώ-ἄνδρε (1), σοφίαν-ἀνδρῶν (1)"
