Collocation,2015-02-01,,,,,,,,,,,,,,,,
KeyWord,ανδρει,,,,,,,,,,,,,,,,
Instances,327,,,,,,,,,,,,,,,,
Files,1,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
καί,ανδρει,1444.2227632124,282,152,130,23,16,33,23,57,0,48,22,24,20,16,"ἀνδρείαν-καί (67), ἀνδρεία-καί (42), ἀνδρείας-καί (30), ἀνδρεῖον-καί (21), ἀνδρεῖος-καί (20), ἀνδρείως-καί (20), ἀνδρεῖοι-καί (19), ἀνδρείᾳ-καί (17), ἀνδρείους-καί (13), ἀνδρείου-καί (7), ἀνδρειότεροι-καί (5), ἀνδρειοτάτους-καί (4), ἀνδρειότατος-καί (4), ἀνδρειότερος-καί (3), ἀνδρειότερον-καί (3), ἀνδρειότατοι-καί (2), ἀνδρειοτάτην-καί (1), ἀνδρειοτέρου-καί (1), ἀνδρείῳ-καί (1), ἀνδρειότατον-καί (1), ἀνδρειότατα-καί (1)"
ὁ,ανδρει,1228.12402422726,282,174,108,26,22,19,32,75,0,16,19,25,21,27,"ἀνδρείαν-τήν (41), ἀνδρεία-ἡ (26), ἀνδρείους-τούς (20), ἀνδρεῖοι-οἱ (19), ἀνδρείας-τῆς (16), ἀνδρείας-τό (11), ἀνδρεῖος-ὁ (9), ἀνδρεῖον-τό (9), ἀνδρείαν-τό (7), ἀνδρεῖον-τόν (5), ἀνδρεία-τῶν (5), ἀνδρείαν-τοῖς (5), ἀνδρείας-τά (5), ἀνδρείαν-οἱ (4), ἀνδρείαν-τῆς (4), ἀνδρεῖοι-τά (4), ἀνδρείαν-τῶν (4), ἀνδρειότατος-ὁ (4), ἀνδρεία-τόν (4), ἀνδρείαν-τόν (3), ἀνδρείας-τῶν (3), ἀνδρεία-ὁ (3), ἀνδρεία-τῆς (3), ἀνδρειοτάτους-τούς (2), ἀνδρειότατον-τό (2), ἀνδρείως-τό (2), ἀνδρειότατε-τό (2), ἀνδρείως-τόν (2), ἀνδρεῖοι-τόν (2), ἀνδρεῖος-τοῖς (2), ἀνδρείαν-ἡ (2), ἀνδρείᾳ-ὁ (2), ἀνδρεῖος-τῶν (2), ἀνδρεία-τό (2), ἀνδρείας-ὁ (2), ἀνδρειότατος-τῶν (2), ἀνδρείους-τά (2), ἀνδρεία-τά (1), ἀνδρείως-ἡ (1), ἀνδρειοτάτου-τῶν (1), ἀνδρείους-τῶν (1), ἀνδρεῖοι-τῶν (1), ἀνδρείας-τοῖς (1), ἀνδρειότατοι-τόν (1), ἀνδρεία-τοῖς (1), ἀνδρειότατος-τό (1), ἀνδρείους-τήν (1), ἀνδρεῖος-τό (1), ἀνδρεῖον-τά (1), ἀνδρείου-τήν (1), ἀνδρείου-τόν (1), ἀνδρείως-τάς (1), ἀνδρείους-τοῖς (1), ἀνδρεῖον-τῶν (1), ἀνδρείας-τήν (1), ἀνδρεῖοι-τούς (1), ἀνδρείαν-τάς (1), ἀνδρείᾳ-ἡ (1), ἀνδρεῖος-τῆς (1), ἀνδρείους-ὁ (1), ἀνδρείους-τῆς (1), ἀνδρείᾳ-τά (1), ἀνδρειότατοι-τῶν (1), ἀνδρείαις-τῆς (1), ἀνδρεῖος-τούς (1), ἀνδρείως-ὁ (1), ἀνδρείαν-τά (1), ἀνδρειότερον-τόν (1), ἀνδρειοτάτην-τήν (1), ἀνδρείους-οἱ (1), ἀνδρείαν-ταῖς (1), ἀνδρείους-τό (1), ἀνδρείαν-τούς (1), ἀνδρειοτέρους-τῶν (1), ἀνδρειότατα-τοῖς (1), ἀνδρειότατον-τόν (1), ἀνδρεῖος-τόν (1)"
εἰμί,ανδρει,505.20723291114,128,49,79,7,9,11,13,9,0,26,17,8,18,10,"ἀνδρείαν-εἶναι (17), ἀνδρεία-ἐστίν (8), ἀνδρεῖον-εἶναι (7), ἀνδρεία-εἴη (6), ἀνδρείους-εἶναι (5), ἀνδρείαν-ἦν (5), ἀνδρεία-ἐστιν (4), ἀνδρεία-εἶναι (4), ἀνδρείας-εἶναι (3), ἀνδρεῖοι-ὄντες (3), ἀνδρεῖος-ὤν (3), ἀνδρείαν-εἴη (2), ἀνδρείας-εἴη (2), ἀνδρείαν-ἦ (2), ἀνδρεῖος-εἶναι (2), ἀνδρειότατοι-ὄντες (2), ἀνδρεῖον-εἴη (2), ἀνδρεία-ἔστι (2), ἀνδρείαν-εἰσιν (1), ἀνδρείαν-οὔσαις (1), ἀνδρεῖον-ἐστιν (1), ἀνδρεῖος-ἔσται (1), ἀνδρεῖος-εἴη (1), ἀνδρεῖον-ἔστι (1), ἀνδρειοτέρους-ἔν (1), ἀνδρείαν-ὄν (1), ἀνδρεῖοι-ἔσονται (1), ἀνδρεῖοι-εἰσιν (1), ἀνδρείᾳ-ἔν (1), ἀνδρειότατος-ὤν (1), ἀνδρεῖοι-ἔστι (1), ἀνδρεία-ἐστι (1), ἀνδρείου-εἰσίν (1), ἀνδρειότατοι-εἰσιν (1), ἀνδρεία-ἐστί (1), ἀνδρεῖος-ἐστιν (1), ἀνδρεία-ὄντος (1), ἀνδρείους-ὄντας (1), ἀνδρείους-εἰσίν (1), ἀνδρεῖοι-εἰσι (1), ἀνδρείου-ὄντος (1), ἀνδρεία-ᾖ (1), ἀνδρεῖος-ἦν (1), ἀνδρείᾳ-ἔστι (1), ἀνδρείας-ἐστιν (1), ἀνδρεῖοι-εἶναι (1), ἀνδρεῖοι-εἶεν (1), ἀνδρεία-ἦν (1), ἀνδρείου-ἔν (1), ἀνδρείου-ἔστιν (1), ἀνδρείαν-ὤν (1), ἀνδρείας-ἔστιν (1), ἀνδρεία-ἔστιν (1), ἀνδρεῖος-ᾖ (1), ἀνδρεία-εἰσιν (1), ἀνδρείᾳ-ἐστιν (1), ἀνδρειότατος-εἴη (1), ἀνδρείως-εἶναι (1), ἀνδρεία-ὄντι (1), ἀνδρείους-ἦ (1), ἀνδρεῖοι-ἐστέ (1), ἀνδρειότατος-εἶναι (1), ἀνδρείας-ἐστίν (1), ἀνδρεῖοι-εἰσίν (1), ἀνδρείαις-εἰσι (1), ἀνδρείως-ὄντι (1), ἀνδρείας-ὄν (1)"
σωφρ,ανδρει,368.551083644852,42,23,19,4,3,7,8,1,0,5,7,6,0,1,"ἀνδρεία-σωφροσύνη (6), ἀνδρείαν-σωφροσύνην (6), ἀνδρείας-σωφροσύνης (5), ἀνδρεία-σώφρων (3), ἀνδρείᾳ-σωφροσύνῃ (3), ἀνδρεῖος-σώφρων (3), ἀνδρείου-σώφρονος (2), ἀνδρεῖον-σώφρονα (2), ἀνδρείαν-σώφρονα (2), ἀνδρείαν-σωφρονοῖ (1), ἀνδρείᾳ-σωφροσύνην (1), ἀνδρείαν-σωφροσύνης (1), ἀνδρειότεροι-σωφρονέστεροι (1), ἀνδρεῖον-σῶφρον (1), ἀνδρείας-σωφροσύνην (1), ἀνδρεῖον-σωφρονεῖν (1), ἀνδρείους-σώφρονας (1), ἀνδρείαν-σωφρονεῖν (1), ἀνδρειότατος-σωφρονέστατος (1)"
δέ,ανδρει,278.830787248909,78,43,35,4,6,12,5,16,0,8,6,9,6,6,"ἀνδρείαν-δέ (21), ἀνδρεία-δέ (12), ἀνδρεῖος-δέ (6), ἀνδρείας-δέ (6), ἀνδρεῖοι-δέ (5), ἀνδρεῖον-δέ (4), ἀνδρείους-δέ (4), ἀνδρείως-δέ (3), ἀνδρειότατοι-δέ (3), ἀνδρείᾳ-δέ (3), ἀνδρείου-δέ (2), ἀνδρειοτάτους-δέ (2), ἀνδρειότατε-δέ (2), ἀνδρειότεροι-δέ (1), ἀνδρειότατα-δέ (1), ἀνδρειότατον-δέ (1), ἀνδρειότατος-δέ (1), ἀνδρειοτάτην-δέ (1)"
οὐ,ανδρει,188.907845167443,55,26,29,6,5,8,3,4,0,6,10,4,4,5,"ἀνδρεία-οὐ (8), ἀνδρείαν-οὐ (7), ἀνδρεῖοι-οὐκ (4), ἀνδρεία-οὐκ (3), ἀνδρείας-οὐκ (3), ἀνδρείους-οὐ (3), ἀνδρεία-οὔ (2), ἀνδρείας-οὐ (2), ἀνδρεία-οὐχ (2), ἀνδρειότατε-οὐ (2), ἀνδρεῖος-οὔ (2), ἀνδρείαν-οὐχ (2), ἀνδρείας-οὔ (2), ἀνδρεῖον-οὐ (2), ἀνδρεῖοι-οὐχ (1), ἀνδρειότερον-οὐκ (1), ἀνδρεῖος-οὐκ (1), ἀνδρείους-οὐχί (1), ἀνδρείως-οὐκ (1), ἀνδρείως-οὔ (1), ἀνδρεῖοι-οὐ (1), ἀνδρειοτάτην-οὐ (1), ἀνδρείαν-οὐκ (1), ἀνδρείᾳ-οὐχ (1), ἀνδρειοτάτην-οὔ (1)"
τε,ανδρει,179.673879222944,51,32,19,8,7,2,10,5,0,8,1,3,3,4,"ἀνδρείαν-τε (12), ἀνδρείως-τε (6), ἀνδρείου-τε (6), ἀνδρεία-τε (5), ἀνδρεῖοι-τε (4), ἀνδρείας-τε (4), ἀνδρείᾳ-τε (3), ἀνδρειότατος-τε (2), ἀνδρεῖον-τε (2), ἀνδρείῳ-τε (1), ἀνδρείαν-τέ (1), ἀνδρείους-τε (1), ἀνδρεῖος-τε (1), ἀνδρειοτάτους-τε (1), ἀνδρειότερος-τε (1), ἀνδρειότεροι-τε (1)"
θαρσαλέος,ανδρει,176.74261328578,15,8,7,0,1,3,2,2,0,3,1,3,0,0,"ἀνδρείους-θαρραλέους (5), ἀνδρεῖοι-θαρραλέοι (3), ἀνδρεία-θαρραλέων (2), ἀνδρεῖοι-θαρραλέα (1), ἀνδρείως-θαρραλέως (1), ἀνδρειότατοι-θαρραλεώτατοι (1), ἀνδρειότερον-θαρραλεώτερον (1), ἀνδρείους-θαρραλέοι (1)"
δειλός,ανδρει,168.236824503168,16,11,5,0,2,5,3,1,0,0,2,0,1,2,"ἀνδρεῖοι-δειλοί (7), ἀνδρεῖος-δειλόν (1), ἀνδρεῖος-δειλῶν (1), ἀνδρείαν-δειλοί (1), ἀνδρείαν-δειλήν (1), ἀνδρείους-δειλοί (1), ἀνδρείου-δειλός (1), ἀνδρεῖον-δειλοῦ (1), ἀνδρείου-δειλοῦ (1), ἀνδρείους-δειλούς (1)"
λα,ανδρει,150.804142974317,15,0,15,0,0,0,0,0,0,3,4,4,0,4,"ἀνδρείαν-λα (6), ἀνδρεία-λα (6), ἀνδρεῖον-λα (1), ἀνδρείους-λα (1), ἀνδρειοτέρους-λα (1)"
